run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.15052671432495118,8.19250513240695,39.7632577419281,google-t5/t5-base,DynP,-1,1,1,0,0
1,0,1,0.17303082942962647,8.19250513240695,0.06072235107421875,google-t5/t5-base,DynP,-1,1,1,0,0
2,0,1,0.07207090854644775,8.19250513240695,0.06022381782531738,google-t5/t5-base,DynP,-1,1,1,49,97
0,0,2,0.1308981657028198,10.519506592303514,35.6155002117157,google-t5/t5-base,DynP,-1,1,1,0,0
1,0,2,0.06929435729980468,10.519506592303514,0.06780862808227539,google-t5/t5-base,DynP,-1,1,1,51,100
2,0,2,0.07607150077819824,10.519506592303514,0.08207440376281738,google-t5/t5-base,DynP,-1,1,1,51,100
0,0,4,0.18131635189056397,14.206239137798548,34.15305948257446,google-t5/t5-base,DynP,-1,1,1,0,0
1,0,4,0.1957854986190796,14.206239137798548,0.07548308372497559,google-t5/t5-base,DynP,-1,1,1,37,59
2,0,4,0.19454355239868165,14.206239137798548,0.07854032516479492,google-t5/t5-base,DynP,-1,1,1,0,0
0,0,8,0.1886676073074341,22.402213994413614,35.281824350357056,google-t5/t5-base,DynP,-1,1,1,0,0
1,0,8,0.14444327354431152,22.402213994413614,0.11185336112976074,google-t5/t5-base,DynP,-1,1,1,67,100
2,0,8,0.16318318843841553,22.402213994413614,0.11640477180480957,google-t5/t5-base,DynP,-1,1,1,0,0
0,0,16,0.30410306453704833,38.21124804392457,34.46604609489441,google-t5/t5-base,DynP,-1,1,1,76,100
1,0,16,0.1865917444229126,38.21124804392457,0.1855766773223877,google-t5/t5-base,DynP,-1,1,1,77,100
2,0,16,0.23928146362304686,38.21124804392457,0.18984079360961914,google-t5/t5-base,DynP,-1,1,1,72,100
