run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.15103549957275392,24.308626532554626,83.70932078361511,google-t5/t5-large,DynP,-1,1,1,0,0
1,0,1,0.1460007905960083,24.308626532554626,0.11281013488769531,google-t5/t5-large,DynP,-1,1,1,10,9
2,0,1,0.14023134708404542,24.308626532554626,0.1171870231628418,google-t5/t5-large,DynP,-1,1,1,43,74
0,0,2,0.16847620010375977,29.533702082931995,86.58137273788452,google-t5/t5-large,DynP,-1,1,1,11,10
1,0,2,0.18045511245727539,29.533702082931995,0.1480860710144043,google-t5/t5-large,DynP,-1,1,1,55,100
2,0,2,0.14456162452697754,29.533702082931995,0.2670426368713379,google-t5/t5-large,DynP,-1,1,1,57,100
0,0,4,0.37044663429260255,39.24755748361349,85.27861332893372,google-t5/t5-large,DynP,-1,1,1,67,100
1,0,4,0.37949910163879397,39.24755748361349,0.1913766860961914,google-t5/t5-large,DynP,-1,1,1,67,100
2,0,4,0.3299462556838989,39.24755748361349,0.17938232421875,google-t5/t5-large,DynP,-1,1,1,67,100
0,0,8,0.33319103717803955,58.88992892950773,86.713134765625,google-t5/t5-large,DynP,-1,1,1,67,100
1,0,8,0.3724863290786743,58.88992892950773,0.2974429130554199,google-t5/t5-large,DynP,-1,1,1,74,100
2,0,8,0.46757969856262205,58.88992892950773,0.31688952445983887,google-t5/t5-large,DynP,-1,1,1,71,100
