run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.21075754165649413,27.97562061622739,108.61819672584534,facebook/opt-1.3b,DynP,-1,1,1,54,100
1,0,1,0.2244040012359619,27.97562061622739,0.21437311172485352,facebook/opt-1.3b,DynP,-1,1,1,54,100
2,0,1,0.2287001371383667,27.97562061622739,0.22121071815490723,facebook/opt-1.3b,DynP,-1,1,1,58,100
0,0,2,0.21670336723327638,29.110686155036092,102.90350651741028,facebook/opt-1.3b,DynP,-1,1,1,54,100
1,0,2,0.23358097076416015,29.110686155036092,0.2542390823364258,facebook/opt-1.3b,DynP,-1,1,1,54,100
2,0,2,0.23414204120635987,29.110686155036092,0.25217103958129883,facebook/opt-1.3b,DynP,-1,1,1,54,100
0,0,4,0.31267967224121096,31.680908674374223,102.38270902633667,facebook/opt-1.3b,DynP,-1,1,1,62,100
1,0,4,0.29826414585113525,31.680908674374223,0.3228023052215576,facebook/opt-1.3b,DynP,-1,1,1,62,100
2,0,4,0.2996779203414917,31.680908674374223,0.3241884708404541,facebook/opt-1.3b,DynP,-1,1,1,63,100
0,0,8,0.42873377799987794,33.35367981530726,107.3138701915741,facebook/opt-1.3b,DynP,-1,1,1,64,100
1,0,8,0.41390433311462405,33.35367981530726,0.46922874450683594,facebook/opt-1.3b,DynP,-1,1,1,64,100
2,0,8,0.4165201187133789,33.35367981530726,0.45511388778686523,facebook/opt-1.3b,DynP,-1,1,1,64,100
0,0,16,0.7074684381484986,37.20724815689027,110.72103762626648,facebook/opt-1.3b,DynP,-1,1,1,71,100
1,0,16,0.7245180130004882,37.20724815689027,0.7424139976501465,facebook/opt-1.3b,DynP,-1,1,1,73,100
2,0,16,0.7063680171966553,37.20724815689027,0.7347159385681152,facebook/opt-1.3b,DynP,-1,1,1,68,100
0,0,32,1.267267918586731,46.0328954141587,115.78767442703247,facebook/opt-1.3b,DynP,-1,1,1,73,100
1,0,32,1.2464269399642944,46.0328954141587,1.2805368900299072,facebook/opt-1.3b,DynP,-1,1,1,73,100
2,0,32,1.258310866355896,46.0328954141587,1.2883095741271973,facebook/opt-1.3b,DynP,-1,1,1,68,100
